Previous_GPA,Mid_Mark,Assignment_Mark,Attendance_Percentage,Study_Hours_Per_Week,Sleep_Hours_Per_Day,Stress_Level,Future_GPA
3.4,13.0,15.0,84.0,65.0,7,1.0,4.0
1.91,9.0,9.0,42.0,42.0,4,3.0,2.3
1.52,9.0,3.0,40.0,15.0,10,3.0,1.0
2.93,14.0,15.0,73.0,53.0,7,1.0,4.0
2.45,13.0,12.0,65.0,46.0,8,3.0,3.3
2.29,11.0,11.0,59.0,38.0,6,4.0,3.0
3.67,18.0,19.0,100.0,68.0,8,3.0,4.0
2.51,10.0,13.0,44.0,53.0,10,4.0,3.0
3.18,15.0,16.0,74.0,57.0,8,4.0,4.0
1.71,10.0,10.0,51.0,50.0,6,5.0,2.7
2.77,15.0,14.0,79.0,70.0,7,3.0,4.0
1.66,11.0,8.0,47.0,35.0,6,3.0,2.0
2.49,15.0,16.0,75.0,68.0,8,2.0,4.0
3.13,14.0,17.0,71.0,36.0,8,3.0,3.7
1.51,7.0,10.0,43.0,26.0,6,4.0,2.3
3.27,18.0,17.0,80.0,53.0,7,1.0,4.0
3.5,13.0,13.0,74.0,60.0,8,3.0,4.0
3.07,19.0,15.0,63.0,48.0,7,2.0,4.0
2.35,16.0,11.0,62.0,35.0,7,2.0,3.3
2.6,13.0,11.0,62.0,45.0,8,1.0,3.3
2.23,13.0,12.0,50.0,42.0,10,1.0,2.7
1.71,8.0,10.0,54.0,38.0,6,4.0,2.3
1.72,8.0,7.0,45.0,24.0,5,3.0,1.7
2.79,15.0,15.0,56.0,62.0,9,1.0,3.7
3.38,14.0,18.0,95.0,53.0,8,1.0,4.0
2.47,10.0,12.0,64.0,48.0,6,4.0,3.3
3.25,17.0,20.0,93.0,45.0,7,2.0,4.0
2.79,10.0,12.0,67.0,64.0,8,2.0,3.3
2.75,16.0,15.0,57.0,54.0,9,1.0,4.0
2.63,12.0,13.0,66.0,30.0,7,3.0,3.3
2.35,7.0,11.0,65.0,56.0,7,2.0,2.7
1.17,9.0,7.0,40.0,14.0,10,5.0,1.3
1.4,11.0,8.0,48.0,38.0,5,4.0,2.3
2.21,13.0,10.0,43.0,41.0,10,2.0,2.7
0.92,4.0,3.0,40.0,26.0,5,5.0,0.0
2.45,12.0,15.0,64.0,66.0,9,1.0,3.7
2.4,12.0,11.0,62.0,36.0,8,5.0,3.3
2.97,14.0,11.0,57.0,50.0,10,2.0,3.0
2.68,14.0,12.0,60.0,42.0,7,1.0,3.3
2.54,12.0,12.0,59.0,51.0,9,3.0,3.3
2.99,14.0,13.0,72.0,55.0,7,1.0,3.7
2.02,14.0,9.0,58.0,37.0,6,3.0,2.7
1.71,13.0,8.0,51.0,31.0,5,4.0,2.3
2.81,9.0,14.0,61.0,32.0,8,2.0,3.3
2.19,14.0,15.0,58.0,43.0,10,3.0,3.3
1.63,9.0,10.0,40.0,44.0,5,3.0,2.3
2.53,10.0,12.0,65.0,42.0,6,3.0,3.0
1.99,9.0,8.0,49.0,47.0,6,2.0,2.7
3.09,20.0,17.0,90.0,70.0,8,3.0,4.0
2.85,11.0,11.0,82.0,63.0,7,2.0,3.7
1.38,5.0,8.0,40.0,22.0,6,3.0,1.3
2.58,13.0,13.0,60.0,46.0,7,1.0,3.3
1.89,8.0,10.0,43.0,30.0,6,5.0,1.7
3.82,17.0,20.0,91.0,72.0,8,1.0,4.0
1.79,9.0,7.0,46.0,23.0,6,3.0,2.0
1.73,8.0,12.0,49.0,45.0,5,3.0,2.3
2.29,11.0,12.0,60.0,47.0,8,2.0,3.3
1.92,9.0,5.0,40.0,45.0,5,3.0,2.0
2.95,17.0,15.0,73.0,65.0,8,2.0,4.0
2.72,14.0,14.0,70.0,52.0,7,1.0,3.7
2.95,16.0,17.0,91.0,69.0,7,4.0,4.0
2.8,15.0,18.0,82.0,64.0,8,1.0,4.0
1.61,8.0,10.0,47.0,27.0,10,3.0,2.0
2.1,9.0,5.0,40.0,46.0,6,1.0,2.0
2.95,18.0,14.0,84.0,41.0,8,1.0,4.0
3.23,19.0,17.0,84.0,59.0,7,1.0,4.0
1.91,13.0,7.0,46.0,40.0,4,4.0,2.3
2.72,12.0,14.0,59.0,52.0,7,3.0,3.7
1.71,8.0,9.0,49.0,35.0,10,4.0,2.0
2.76,14.0,16.0,62.0,36.0,8,4.0,4.0
2.74,16.0,12.0,69.0,48.0,9,2.0,3.7
2.67,12.0,17.0,74.0,60.0,7,3.0,4.0
1.62,10.0,10.0,44.0,39.0,10,3.0,2.7
1.76,15.0,15.0,52.0,55.0,6,3.0,3.3
3.3,11.0,15.0,78.0,62.0,7,3.0,3.7
2.19,14.0,9.0,51.0,46.0,10,3.0,2.7
3.95,17.0,18.0,100.0,57.0,8,2.0,4.0
2.19,14.0,12.0,60.0,42.0,6,3.0,3.3
2.08,12.0,8.0,52.0,52.0,5,2.0,2.7
3.18,19.0,16.0,80.0,60.0,7,1.0,4.0
2.82,15.0,15.0,65.0,65.0,9,1.0,4.0
2.12,12.0,10.0,50.0,41.0,5,3.0,3.0
3.83,16.0,20.0,94.0,66.0,8,1.0,4.0
2.49,13.0,14.0,59.0,42.0,7,4.0,3.3
2.86,16.0,12.0,76.0,54.0,7,1.0,3.7
2.83,15.0,10.0,64.0,45.0,8,2.0,3.7
2.72,11.0,15.0,64.0,50.0,9,3.0,3.3
1.77,7.0,13.0,40.0,34.0,10,4.0,2.3
3.94,18.0,20.0,91.0,72.0,8,1.0,4.0
2.25,12.0,11.0,53.0,39.0,6,3.0,2.7
3.13,19.0,14.0,91.0,62.0,7,1.0,4.0
2.32,11.0,13.0,63.0,47.0,9,4.0,3.3
2.48,12.0,15.0,68.0,48.0,8,1.0,3.3
2.18,13.0,12.0,53.0,34.0,6,3.0,2.7
2.86,15.0,15.0,75.0,52.0,8,1.0,3.7
1.56,10.0,7.0,40.0,28.0,5,1.0,2.0
3.88,19.0,19.0,99.0,80.0,8,1.0,4.0
1.75,6.0,12.0,43.0,28.0,6,2.0,2.0
3.0,13.0,16.0,70.0,54.0,8,3.0,3.7
3.23,18.0,15.0,73.0,49.0,8,4.0,4.0
1.58,10.0,6.0,40.0,20.0,6,3.0,1.3
2.17,10.0,17.0,59.0,53.0,8,3.0,3.3
2.98,13.0,14.0,74.0,54.0,9,3.0,4.0
1.7,9.0,8.0,40.0,36.0,5,2.0,1.7
3.01,15.0,15.0,72.0,54.0,7,1.0,4.0
2.36,13.0,15.0,58.0,22.0,5,1.0,2.7
2.63,12.0,13.0,59.0,69.0,9,3.0,3.3
3.91,13.0,18.0,93.0,73.0,9,1.0,4.0
2.86,13.0,12.0,75.0,59.0,7,1.0,3.7
2.67,15.0,11.0,63.0,52.0,9,2.0,3.3
2.21,10.0,9.0,54.0,45.0,6,3.0,2.7
1.53,9.0,8.0,43.0,43.0,10,3.0,2.0
2.65,10.0,9.0,52.0,45.0,4,4.0,3.0
2.39,10.0,11.0,69.0,53.0,8,4.0,3.3
2.79,12.0,13.0,70.0,35.0,7,4.0,3.3
1.85,12.0,11.0,48.0,52.0,4,4.0,2.7
3.17,16.0,17.0,78.0,80.0,9,3.0,4.0
2.5,13.0,10.0,69.0,52.0,8,4.0,3.3
2.22,13.0,9.0,49.0,49.0,6,1.0,3.0
2.39,12.0,12.0,59.0,33.0,5,5.0,2.7
3.09,18.0,17.0,72.0,41.0,8,2.0,4.0
2.48,14.0,14.0,76.0,38.0,7,3.0,3.3
3.82,17.0,17.0,93.0,69.0,7,2.0,4.0
2.6,13.0,17.0,72.0,65.0,7,2.0,4.0
3.58,13.0,19.0,82.0,57.0,7,1.0,4.0
4.0,16.0,19.0,98.0,66.0,7,1.0,4.0
2.08,13.0,10.0,62.0,46.0,6,2.0,3.7
3.42,17.0,11.0,74.0,64.0,9,2.0,4.0
2.46,8.0,11.0,55.0,59.0,9,5.0,3.3
3.07,16.0,16.0,85.0,54.0,7,4.0,4.0
2.15,9.0,14.0,57.0,56.0,4,3.0,3.0
3.67,19.0,20.0,96.0,62.0,7,1.0,4.0
2.89,12.0,19.0,74.0,46.0,8,2.0,4.0
1.67,11.0,9.0,51.0,45.0,5,1.0,2.7
2.76,16.0,17.0,70.0,54.0,9,1.0,4.0
2.12,11.0,11.0,59.0,45.0,10,4.0,3.0
2.66,12.0,12.0,71.0,50.0,7,3.0,3.3
2.93,17.0,17.0,86.0,71.0,7,1.0,4.0
3.95,18.0,14.0,92.0,58.0,9,2.0,4.0
1.55,8.0,8.0,42.0,13.0,6,5.0,1.7
2.63,19.0,12.0,70.0,60.0,7,3.0,4.0
2.25,11.0,12.0,57.0,39.0,6,5.0,3.0
2.68,15.0,14.0,71.0,33.0,9,1.0,3.7
2.43,10.0,14.0,55.0,45.0,5,4.0,2.7
2.68,16.0,15.0,71.0,54.0,7,2.0,4.0
1.73,6.0,10.0,40.0,25.0,5,5.0,1.7
2.97,16.0,11.0,72.0,60.0,8,1.0,4.0
2.08,12.0,9.0,51.0,25.0,6,3.0,2.3
2.79,15.0,13.0,70.0,52.0,8,3.0,3.7
2.56,14.0,14.0,68.0,43.0,7,2.0,4.0
3.67,15.0,16.0,88.0,59.0,9,1.0,4.0
3.45,18.0,17.0,99.0,71.0,8,3.0,4.0
2.41,13.0,10.0,48.0,37.0,5,3.0,3.0
3.84,20.0,20.0,97.0,80.0,8,1.0,4.0
2.74,14.0,12.0,73.0,59.0,8,3.0,3.7
2.74,14.0,14.0,76.0,53.0,9,1.0,3.7
2.36,12.0,6.0,59.0,39.0,7,2.0,3.0
1.52,10.0,6.0,53.0,46.0,6,4.0,2.3
2.06,12.0,11.0,55.0,47.0,5,4.0,2.7
2.51,16.0,15.0,62.0,41.0,8,2.0,4.0
3.16,17.0,14.0,72.0,39.0,9,3.0,3.7
1.88,9.0,11.0,49.0,44.0,5,3.0,2.3
1.78,8.0,9.0,49.0,34.0,4,3.0,2.3
3.11,12.0,12.0,59.0,63.0,9,4.0,3.3
2.18,13.0,14.0,51.0,21.0,6,5.0,2.7
1.69,15.0,9.0,52.0,46.0,5,3.0,3.0
2.46,15.0,14.0,58.0,59.0,7,1.0,4.0
2.15,10.0,10.0,52.0,36.0,6,4.0,2.7
3.04,18.0,12.0,81.0,49.0,7,4.0,4.0
3.02,16.0,14.0,74.0,68.0,8,1.0,4.0
1.19,5.0,7.0,40.0,18.0,5,5.0,1.3
2.1,8.0,11.0,62.0,44.0,5,2.0,3.0
2.34,10.0,9.0,59.0,51.0,7,2.0,3.0
3.31,18.0,16.0,88.0,72.0,7,3.0,4.0
2.25,11.0,11.0,50.0,39.0,4,3.0,2.7
2.45,16.0,7.0,54.0,46.0,9,3.0,3.0
3.01,13.0,17.0,79.0,68.0,7,2.0,4.0
3.46,17.0,18.0,89.0,49.0,9,1.0,4.0
3.02,19.0,16.0,67.0,53.0,9,2.0,4.0
1.91,11.0,8.0,45.0,37.0,6,4.0,2.3
3.67,18.0,18.0,85.0,70.0,9,1.0,4.0
2.49,11.0,16.0,63.0,49.0,8,1.0,3.3
2.49,11.0,10.0,52.0,47.0,6,3.0,3.0
2.83,15.0,14.0,76.0,62.0,7,3.0,4.0
3.77,17.0,18.0,82.0,65.0,7,2.0,4.0
2.85,17.0,11.0,61.0,52.0,7,1.0,3.7
2.19,9.0,9.0,63.0,55.0,8,2.0,3.0
2.94,15.0,13.0,82.0,66.0,8,1.0,4.0
4.0,17.0,20.0,92.0,69.0,8,2.0,4.0
2.26,9.0,9.0,53.0,30.0,10,4.0,2.3
2.4,11.0,15.0,69.0,64.0,8,3.0,4.0
3.99,18.0,19.0,95.0,65.0,9,2.0,4.0
2.93,13.0,13.0,66.0,52.0,7,4.0,4.0
1.98,6.0,7.0,42.0,22.0,5,3.0,1.3
3.63,17.0,15.0,88.0,66.0,7,2.0,4.0
2.29,13.0,9.0,55.0,47.0,10,1.0,3.0
1.73,10.0,11.0,46.0,33.0,6,3.0,2.3
2.97,17.0,16.0,90.0,61.0,7,2.0,4.0
2.38,8.0,12.0,65.0,52.0,8,1.0,3.0
2.44,13.0,13.0,60.0,43.0,6,3.0,3.3
2.24,11.0,10.0,58.0,55.0,6,4.0,3.0
2.85,15.0,13.0,73.0,48.0,8,3.0,4.0
2.7,11.0,14.0,61.0,51.0,8,2.0,3.3
3.7,16.0,16.0,98.0,75.0,7,4.0,4.0
2.83,18.0,14.0,73.0,60.0,7,1.0,4.0
2.28,15.0,12.0,62.0,27.0,10,1.0,3.0
3.07,14.0,18.0,84.0,73.0,8,1.0,4.0
3.51,17.0,17.0,81.0,72.0,7,2.0,4.0
1.09,6.0,8.0,41.0,51.0,10,4.0,2.0
2.87,10.0,14.0,72.0,42.0,7,2.0,3.7
2.12,10.0,13.0,55.0,41.0,7,4.0,3.0
2.66,15.0,14.0,74.0,52.0,9,2.0,4.0
2.98,14.0,17.0,71.0,50.0,8,2.0,4.0
3.33,19.0,19.0,90.0,78.0,8,1.0,4.0
3.65,17.0,20.0,99.0,80.0,7,1.0,4.0
3.18,13.0,18.0,82.0,80.0,7,3.0,4.0
2.1,13.0,11.0,50.0,27.0,6,2.0,2.7
2.24,7.0,13.0,54.0,40.0,6,1.0,2.7
2.23,13.0,13.0,55.0,65.0,7,3.0,3.7
3.27,10.0,13.0,72.0,45.0,8,2.0,3.7
2.56,10.0,7.0,60.0,33.0,7,1.0,3.0
2.31,8.0,12.0,55.0,28.0,5,3.0,2.3
3.73,14.0,16.0,90.0,76.0,9,1.0,4.0
1.84,9.0,12.0,53.0,32.0,6,5.0,2.7
3.16,16.0,14.0,80.0,61.0,8,2.0,4.0
1.69,9.0,7.0,41.0,13.0,10,3.0,1.7
2.82,12.0,15.0,67.0,41.0,7,4.0,3.0
1.54,13.0,11.0,50.0,36.0,6,3.0,2.7
2.62,13.0,12.0,69.0,48.0,9,1.0,3.0
1.52,10.0,12.0,58.0,28.0,6,3.0,2.3
1.51,3.0,8.0,40.0,29.0,6,3.0,1.3
2.82,19.0,14.0,75.0,49.0,7,1.0,4.0
2.38,14.0,10.0,52.0,34.0,5,4.0,2.7
2.68,11.0,15.0,55.0,35.0,7,1.0,3.3
3.79,19.0,20.0,95.0,68.0,8,1.0,4.0
4.0,19.0,20.0,96.0,77.0,7,2.0,4.0
3.7,19.0,20.0,83.0,77.0,9,2.0,4.0
3.31,16.0,16.0,72.0,51.0,9,2.0,4.0
3.69,20.0,15.0,91.0,80.0,9,1.0,4.0
2.41,11.0,10.0,54.0,43.0,5,2.0,2.7
2.82,14.0,16.0,67.0,67.0,9,3.0,4.0
1.62,7.0,11.0,53.0,33.0,10,3.0,2.3
3.02,13.0,15.0,73.0,51.0,8,2.0,4.0
2.93,17.0,14.0,69.0,56.0,8,3.0,4.0
2.86,13.0,13.0,70.0,64.0,7,3.0,3.7
3.32,14.0,19.0,86.0,44.0,9,2.0,4.0
3.54,20.0,18.0,86.0,80.0,8,2.0,4.0
2.3,13.0,12.0,63.0,61.0,7,2.0,3.3
2.59,11.0,10.0,70.0,41.0,7,5.0,2.7
3.99,15.0,16.0,94.0,52.0,9,1.0,4.0
2.3,9.0,12.0,67.0,57.0,8,3.0,3.0
3.28,12.0,15.0,78.0,67.0,7,1.0,4.0
3.06,18.0,15.0,83.0,57.0,8,1.0,4.0
2.59,12.0,15.0,66.0,39.0,8,1.0,3.7
1.83,7.0,8.0,48.0,23.0,6,4.0,2.0
2.81,11.0,14.0,58.0,52.0,9,1.0,3.7
3.81,16.0,16.0,82.0,38.0,7,2.0,4.0
2.62,11.0,13.0,57.0,48.0,10,3.0,3.0
2.2,9.0,9.0,44.0,36.0,5,2.0,2.3
2.87,15.0,17.0,71.0,40.0,8,2.0,4.0
2.55,15.0,14.0,68.0,63.0,8,2.0,4.0
2.46,11.0,13.0,64.0,47.0,8,2.0,3.3
2.1,12.0,9.0,51.0,29.0,6,4.0,2.7
2.09,11.0,13.0,54.0,56.0,10,4.0,3.3
1.83,10.0,11.0,42.0,49.0,5,3.0,2.7
2.64,14.0,13.0,68.0,64.0,7,3.0,4.0
1.96,10.0,9.0,53.0,46.0,6,2.0,2.7
1.57,7.0,9.0,45.0,24.0,6,5.0,1.7
2.67,14.0,9.0,70.0,50.0,7,2.0,3.3
3.85,19.0,18.0,100.0,71.0,7,2.0,4.0
3.85,17.0,20.0,89.0,65.0,9,2.0,4.0
1.11,9.0,5.0,40.0,18.0,10,4.0,1.0
3.22,15.0,13.0,72.0,56.0,7,1.0,4.0
2.6,15.0,14.0,65.0,68.0,7,3.0,4.0
3.35,13.0,18.0,66.0,77.0,8,2.0,4.0
3.67,17.0,13.0,95.0,59.0,7,2.0,4.0
2.12,12.0,13.0,72.0,41.0,8,1.0,3.0
2.32,16.0,14.0,55.0,44.0,7,1.0,3.7
2.73,12.0,10.0,60.0,55.0,8,5.0,3.3
2.61,14.0,12.0,70.0,40.0,8,2.0,3.0
1.88,7.0,9.0,40.0,40.0,6,3.0,2.3
2.33,10.0,10.0,54.0,57.0,6,2.0,3.0
1.65,10.0,7.0,52.0,14.0,6,3.0,2.0
2.29,12.0,13.0,74.0,42.0,7,2.0,3.3
2.76,16.0,14.0,65.0,57.0,7,2.0,4.0
2.17,13.0,11.0,59.0,51.0,5,3.0,3.3
3.2,14.0,16.0,72.0,61.0,9,2.0,4.0
2.84,9.0,14.0,69.0,46.0,7,3.0,3.3
3.69,18.0,20.0,93.0,80.0,8,3.0,4.0
2.33,10.0,12.0,53.0,24.0,5,5.0,3.0
2.92,16.0,14.0,71.0,45.0,7,2.0,4.0
2.34,9.0,11.0,58.0,39.0,10,4.0,2.3
2.38,10.0,10.0,68.0,28.0,9,2.0,3.0
2.82,19.0,15.0,86.0,71.0,9,3.0,4.0
2.07,14.0,10.0,66.0,40.0,7,2.0,3.3
2.4,12.0,11.0,54.0,45.0,9,3.0,3.0
2.98,17.0,18.0,81.0,47.0,9,1.0,4.0
3.43,15.0,12.0,81.0,63.0,9,2.0,4.0
2.4,10.0,12.0,53.0,42.0,5,2.0,3.0
3.1,15.0,17.0,78.0,47.0,7,4.0,4.0
1.42,7.0,6.0,40.0,31.0,5,3.0,1.7
3.01,17.0,17.0,65.0,46.0,7,2.0,4.0
1.45,5.0,11.0,52.0,29.0,10,2.0,2.0
3.41,17.0,17.0,78.0,32.0,7,2.0,4.0
1.47,7.0,7.0,40.0,15.0,6,5.0,1.7
2.43,14.0,13.0,63.0,59.0,9,1.0,3.3
1.74,8.0,8.0,40.0,26.0,5,3.0,1.7
2.49,13.0,16.0,71.0,51.0,8,4.0,4.0
2.07,13.0,13.0,56.0,46.0,6,3.0,3.0
3.47,20.0,18.0,93.0,73.0,7,2.0,4.0
2.77,17.0,13.0,72.0,48.0,7,3.0,3.7
1.93,10.0,9.0,40.0,17.0,10,4.0,2.3
3.12,17.0,15.0,70.0,59.0,7,1.0,4.0
1.83,9.0,9.0,44.0,44.0,6,2.0,2.3
1.54,11.0,10.0,41.0,26.0,5,5.0,2.7
3.01,15.0,13.0,77.0,53.0,7,3.0,3.7
1.45,6.0,7.0,40.0,11.0,6,3.0,1.3
2.56,12.0,12.0,70.0,29.0,8,2.0,3.0
2.44,14.0,12.0,65.0,49.0,8,3.0,3.3
3.41,14.0,14.0,82.0,49.0,8,2.0,4.0
2.31,9.0,15.0,57.0,38.0,6,3.0,3.0
2.75,10.0,13.0,72.0,54.0,9,1.0,3.7
2.47,11.0,13.0,64.0,30.0,9,3.0,3.3
2.54,13.0,15.0,64.0,53.0,8,3.0,3.0
2.17,10.0,20.0,54.0,37.0,6,3.0,3.3
2.54,11.0,15.0,73.0,58.0,8,2.0,4.0
2.3,16.0,13.0,62.0,40.0,8,4.0,3.3
2.73,15.0,13.0,64.0,49.0,8,1.0,3.7
1.04,6.0,8.0,42.0,45.0,6,4.0,1.7
2.85,16.0,15.0,77.0,64.0,7,2.0,4.0
2.51,14.0,17.0,58.0,27.0,7,1.0,3.3
1.84,8.0,8.0,43.0,29.0,4,2.0,2.3
2.35,10.0,17.0,68.0,39.0,7,3.0,3.3
2.0,8.0,10.0,52.0,28.0,10,3.0,2.0
2.57,11.0,12.0,78.0,33.0,9,1.0,3.0
2.45,12.0,14.0,60.0,36.0,8,2.0,3.0
1.95,10.0,5.0,41.0,40.0,5,4.0,2.0
2.75,12.0,16.0,70.0,57.0,9,2.0,4.0
2.23,6.0,8.0,52.0,51.0,10,2.0,2.0
2.49,14.0,17.0,75.0,69.0,8,2.0,4.0
1.04,2.0,9.0,40.0,20.0,10,4.0,1.3
2.63,13.0,13.0,72.0,53.0,7,2.0,3.3
2.62,13.0,11.0,47.0,41.0,4,2.0,2.7
2.38,16.0,17.0,63.0,39.0,6,4.0,3.7
3.56,19.0,17.0,87.0,48.0,7,2.0,4.0
2.36,12.0,15.0,52.0,44.0,6,2.0,3.0
2.65,10.0,16.0,73.0,51.0,8,3.0,3.3
3.18,16.0,12.0,79.0,67.0,8,3.0,4.0
3.58,17.0,16.0,86.0,61.0,7,3.0,4.0
1.82,8.0,14.0,48.0,30.0,6,4.0,2.3
3.42,19.0,14.0,93.0,77.0,8,1.0,4.0
2.56,8.0,11.0,52.0,45.0,5,1.0,2.3
1.88,6.0,9.0,56.0,44.0,5,5.0,2.0
3.25,18.0,16.0,88.0,54.0,7,1.0,4.0
2.15,13.0,9.0,52.0,51.0,5,3.0,2.7
3.0,17.0,14.0,73.0,57.0,7,2.0,4.0
3.21,20.0,18.0,82.0,51.0,7,3.0,4.0
3.32,19.0,15.0,87.0,55.0,7,1.0,4.0
2.71,12.0,13.0,69.0,54.0,7,3.0,3.7
2.67,9.0,16.0,64.0,52.0,7,4.0,3.3
1.94,9.0,13.0,61.0,48.0,10,1.0,2.7
2.69,16.0,12.0,62.0,54.0,7,2.0,3.7
3.29,17.0,17.0,79.0,50.0,8,3.0,4.0
1.22,6.0,7.0,40.0,17.0,10,5.0,1.7
2.56,12.0,12.0,63.0,30.0,7,2.0,3.0
3.4,14.0,14.0,76.0,63.0,9,3.0,4.0
3.09,14.0,14.0,71.0,51.0,8,2.0,4.0
1.66,8.0,6.0,50.0,32.0,6,3.0,2.0
3.25,17.0,15.0,75.0,64.0,8,1.0,4.0
2.66,10.0,15.0,65.0,69.0,7,2.0,4.0
1.62,9.0,11.0,57.0,35.0,6,5.0,2.3
1.66,11.0,11.0,49.0,30.0,6,2.0,2.3
2.33,12.0,12.0,59.0,43.0,5,2.0,2.7
2.42,14.0,14.0,56.0,40.0,8,3.0,3.3
3.15,16.0,14.0,85.0,53.0,7,1.0,4.0
2.28,10.0,13.0,47.0,44.0,4,1.0,3.0
1.8,8.0,9.0,45.0,32.0,6,3.0,2.0
1.97,11.0,11.0,54.0,44.0,5,5.0,2.7
2.27,12.0,11.0,63.0,56.0,8,2.0,3.0
1.51,9.0,4.0,40.0,10.0,5,5.0,1.0
2.95,16.0,19.0,83.0,42.0,7,3.0,4.0
2.95,9.0,10.0,64.0,55.0,8,5.0,3.0
3.15,17.0,17.0,76.0,43.0,8,1.0,4.0
2.94,15.0,19.0,78.0,50.0,8,1.0,4.0
2.71,14.0,14.0,74.0,50.0,7,2.0,4.0
2.48,13.0,9.0,56.0,56.0,10,3.0,3.3
1.69,9.0,10.0,40.0,42.0,10,2.0,2.0
2.46,10.0,15.0,65.0,58.0,10,3.0,3.3
2.53,13.0,16.0,56.0,44.0,8,3.0,3.7
3.08,13.0,15.0,74.0,56.0,8,2.0,3.7
2.95,17.0,16.0,79.0,66.0,7,1.0,4.0
3.69,17.0,14.0,80.0,80.0,7,2.0,4.0
1.85,7.0,13.0,53.0,36.0,10,5.0,2.7
